code_sdr,nom_sdr,idugd,niveau_geo,qualite_geo,c1,symbole_c1,c58,symbole_c58,c63,symbole_c63,c64,symbole_c64,c65,symbole_c65,c68,symbole_c68,c69,symbole_c69,c70,symbole_c70,c78,symbole_c78,c86,symbole_c86,c89,symbole_c89,c97,symbole_c97,c126,symbole_c126,c127,symbole_c127,c128,symbole_c128,c1998,symbole_c1998,c1999,symbole_c1999,c2229,symbole_c2229
2408040,"Sainte-Paule, Municipalité (MÉ)",2021A00052408040,Subdivision de recensement,01919,247,,220,,0,,10,,0,,0,,20,,10,,80,,10,,250,,45,,225,,,x,,x,225,,30,,53.3,
2408053,"Matane, Ville (V)",2021A00052408053,Subdivision de recensement,00000,13987,,12250,,25,,475,,80,,145,,945,,850,,3845,,590,,13555,,2965,,11840,,11645,,43600,,11840,,2940,,50.4,
2408065,"Saint-Léandre, Paroisse (municipalité de) (PE)",2021A00052408065,Subdivision de recensement,00010,375,,320,,0,,10,,5,,0,,25,,20,,110,,20,,375,,70,,330,,330,,36800,,330,,90,,45.5,
2408073,"Saint-Ulric, Municipalité (MÉ)",2021A00052408073,Subdivision de recensement,00000,1567,,1355,,0,,100,,15,,20,,90,,65,,485,,60,,1560,,285,,1375,,1355,,44480,,1375,,280,,53.1,
2408080,"Baie-des-Sables, Municipalité (MÉ)",2021A00052408080,Subdivision de recensement,00000,613,,530,,5,,20,,0,,5,,40,,25,,180,,25,,590,,105,,535,,525,,39200,,530,,110,,45.3,
2408902,"Rivière-Bonjour, Non organisé (NO)",2021A00052408902,Subdivision de recensement,09999,16,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x
2409005,"La Rédemption, Paroisse (municipalité de) (PE)",2021A00052409005,Subdivision de recensement,00010,384,,335,,0,,15,,0,,0,,20,,25,,110,,20,,385,,60,,355,,340,,31400,,355,,190,,40.8,
2409010,"Saint-Charles-Garnier, Paroisse (municipalité de) (PE)",2021A00052409010,Subdivision de recensement,00909,222,,195,,0,,5,,0,,5,,10,,15,,75,,10,,220,,40,,190,,,x,,x,190,,90,,28.9,
2409015,"Les Hauteurs, Municipalité (MÉ)",2021A00052409015,Subdivision de recensement,00000,485,,400,,5,,20,,0,,15,,25,,25,,130,,20,,475,,85,,360,,355,,29600,,360,,100,,40.3,
2409020,"Sainte-Jeanne-d'Arc, Paroisse (municipalité de) (PE)",2021A00052409020,Subdivision de recensement,00909,217,,190,,0,,10,,0,,0,,15,,10,,65,,5,,220,,40,,195,,,x,,x,195,,45,,48.7,
2409025,"Saint-Gabriel-de-Rimouski, Municipalité (MÉ)",2021A00052409025,Subdivision de recensement,00000,1177,,950,,0,,25,,5,,15,,60,,60,,320,,45,,1165,,190,,930,,910,,42300,,935,,230,,57.2,
2409030,"Saint-Donat, Paroisse (municipalité de) (PE)",2021A00052409030,Subdivision de recensement,00000,835,,700,,0,,45,,5,,10,,45,,30,,245,,30,,835,,150,,770,,760,,45100,,770,,150,,66.9,
2409035,"Sainte-Angèle-de-Mérici, Municipalité (MÉ)",2021A00052409035,Subdivision de recensement,00000,989,,825,,0,,25,,5,,10,,45,,50,,280,,45,,985,,170,,835,,820,,37400,,835,,265,,43.1,
2409040,"Padoue, Municipalité (MÉ)",2021A00052409040,Subdivision de recensement,00009,250,,220,,0,,15,,0,,0,,10,,15,,80,,10,,250,,25,,195,,,x,,x,200,,70,,37.5,
2409048,"Métis-sur-Mer, Ville (V)",2021A00052409048,Subdivision de recensement,00000,594,,525,,0,,20,,5,,5,,50,,35,,165,,25,,580,,135,,495,,480,,41800,,495,,130,,35.4,
2409055,"Saint-Octave-de-Métis, Paroisse (municipalité de) (PE)",2021A00052409055,Subdivision de recensement,00000,493,,410,,0,,20,,5,,5,,20,,20,,135,,20,,480,,60,,380,,380,,36600,,375,,100,,50.7,
2409060,"Grand-Métis, Municipalité (MÉ)",2021A00052409060,Subdivision de recensement,01929,218,,210,,0,,15,,0,,0,,15,,15,,70,,5,,215,,55,,160,,,x,,x,160,,60,,46.9,
2409065,"Price, Village (VL)",2021A00052409065,Subdivision de recensement,00000,1729,,1380,,5,,45,,5,,25,,105,,90,,455,,100,,1675,,285,,1330,,1320,,39120,,1330,,410,,50.4,
2409070,"Saint-Joseph-de-Lepage, Paroisse (municipalité de) (PE)",2021A00052409070,Subdivision de recensement,00000,590,,455,,0,,10,,5,,5,,20,,30,,165,,20,,560,,55,,420,,405,,78400,,420,,70,,51.2,
2409077,"Mont-Joli, Ville (V)",2021A00052409077,Subdivision de recensement,00000,6384,,5490,,10,,200,,15,,75,,475,,415,,1630,,305,,5935,,1340,,5040,,4960,,39880,,5040,,1460,,45,
2409085,"Sainte-Flavie, Paroisse (municipalité de) (PE)",2021A00052409085,Subdivision de recensement,00000,904,,780,,5,,30,,10,,10,,55,,40,,260,,30,,875,,150,,830,,830,,44000,,830,,145,,51.8,
2409092,"Sainte-Luce, Municipalité (MÉ)",2021A00052409092,Subdivision de recensement,00000,2845,,2390,,5,,105,,5,,25,,135,,120,,825,,105,,2780,,445,,2325,,2275,,48480,,2325,,410,,57.8,
2409902,"Lac-des-Eaux-Mortes, Non organisé (NO)",2021A00052409902,Subdivision de recensement,05999,47,,40,,0,,0,,5,,0,,5,,0,,15,,0,,45,,15,,,x,,x,,x,,x,,x,,x
2409904,"Lac-à-la-Croix, Non organisé (NO)",2021A00052409904,Subdivision de recensement,09999,0,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x
2410005,"Esprit-Saint, Municipalité (MÉ)",2021A00052410005,Subdivision de recensement,00000,340,,305,,0,,5,,0,,0,,15,,20,,105,,10,,340,,65,,330,,325,,31100,,330,,140,,36.4,
2410010,"La Trinité-des-Monts, Paroisse (municipalité de) (PE)",2021A00052410010,Subdivision de recensement,00909,233,,200,,0,,0,,5,,5,,10,,20,,65,,15,,235,,60,,190,,,x,,x,190,,65,,42.1,
2410015,"Saint-Narcisse-de-Rimouski, Paroisse (municipalité de) (PE)",2021A00052410015,Subdivision de recensement,00000,1084,,895,,0,,45,,5,,5,,45,,30,,325,,25,,1080,,155,,910,,895,,40700,,910,,245,,50,
2410025,"Saint-Marcellin, Paroisse (municipalité de) (PE)",2021A00052410025,Subdivision de recensement,00000,397,,350,,0,,5,,5,,5,,30,,5,,120,,15,,400,,95,,365,,350,,42000,,365,,120,,45.2,
2410030,"Saint-Anaclet-de-Lessard, Paroisse (municipalité de) (PE)",2021A00052410030,Subdivision de recensement,00000,3019,,2450,,10,,95,,10,,25,,115,,75,,925,,110,,3020,,340,,2445,,2415,,48520,,2450,,395,,65.3,
2410043,"Rimouski, Ville (V)",2021A00052410043,Subdivision de recensement,00000,48935,,41965,,105,,1740,,250,,430,,2785,,2455,,13485,,1885,,47470,,9255,,40460,,39830,,48120,,40460,,5675,,54.5,
2410060,"Saint-Valérien, Paroisse (municipalité de) (PE)",2021A00052410060,Subdivision de recensement,00000,906,,735,,5,,25,,10,,10,,25,,20,,280,,25,,905,,100,,730,,715,,42900,,730,,180,,60.3,
2410070,"Saint-Fabien, Paroisse (municipalité de) (PE)",2021A00052410070,Subdivision de recensement,00000,1834,,1575,,5,,65,,10,,25,,115,,105,,530,,75,,1790,,325,,1525,,1495,,41320,,1520,,365,,46.7,
2410075,"Saint-Eugène-de-Ladrière, Paroisse (municipalité de) (PE)",2021A00052410075,Subdivision de recensement,00000,413,,340,,0,,15,,0,,5,,15,,20,,120,,15,,410,,60,,325,,325,,40000,,330,,75,,51.5,
2410902,"Lac-Huron, Non organisé (NO)",2021A00052410902,Subdivision de recensement,09999,30,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x
2411005,"Saint-Clément, Municipalité (MÉ)",2021A00052411005,Subdivision de recensement,00000,479,,400,,0,,0,,0,,0,,20,,25,,130,,25,,465,,80,,395,,385,,38800,,395,,80,,59.5,
2411010,"Saint-Jean-de-Dieu, Municipalité (MÉ)",2021A00052411010,Subdivision de recensement,00000,1651,,1370,,5,,55,,10,,10,,75,,110,,465,,40,,1555,,225,,1265,,1240,,34100,,1265,,400,,52.6,
