x_m,y_m,ecart_c
-206812.5,319867.5,13.220322608947754
-206752.5,319867.5,14.388293266296387
-206692.5,319867.5,13.702665328979492
-206632.5,319867.5,6.474849224090576
-206572.5,319867.5,3.1041884422302246
-206512.5,319867.5,2.3965678215026855
-206452.5,319867.5,3.368586540222168
-206392.5,319867.5,5.339471340179443
-206332.5,319867.5,6.072472095489502
-206272.5,319867.5,4.097329139709473
-206212.5,319867.5,7.130110263824463
-206152.5,319867.5,14.088017463684082
-206092.5,319867.5,8.551555633544922
-206032.5,319867.5,9.90523624420166
-211672.5,319807.5,15.76167106628418
-211612.5,319807.5,16.413162231445312
-211552.5,319807.5,17.250221252441406
-211492.5,319807.5,17.391067504882812
-211432.5,319807.5,17.057273864746094
-211372.5,319807.5,12.869264602661133
-211312.5,319807.5,14.7681884765625
-211252.5,319807.5,10.803144454956055
-211192.5,319807.5,14.637471199035645
-211132.5,319807.5,15.757431030273438
-211072.5,319807.5,12.870677947998047
-211012.5,319807.5,15.168785095214844
-210952.5,319807.5,17.270910263061523
-210892.5,319807.5,13.280508041381836
-210832.5,319807.5,8.208353042602539
-210772.5,319807.5,3.547239303588867
-210712.5,319807.5,2.9858531951904297
-210652.5,319807.5,6.687202453613281
-210592.5,319807.5,7.437234401702881
-210532.5,319807.5,12.331913948059082
-210472.5,319807.5,14.896415710449219
-210412.5,319807.5,11.264151573181152
-210352.5,319807.5,8.574835777282715
-210292.5,319807.5,9.779675483703613
-210232.5,319807.5,7.349168300628662
-210172.5,319807.5,10.137016296386719
-210112.5,319807.5,12.550929069519043
-210052.5,319807.5,10.718179702758789
-209992.5,319807.5,10.182426452636719
-209932.5,319807.5,8.033218383789062
-209872.5,319807.5,9.185948371887207
-209812.5,319807.5,11.594114303588867
-209752.5,319807.5,12.1530122756958
-209692.5,319807.5,13.251627922058105
-209632.5,319807.5,15.057066917419434
-209572.5,319807.5,11.216825485229492
-209512.5,319807.5,14.447881698608398
-209452.5,319807.5,14.176126480102539
-209392.5,319807.5,12.45428466796875
-209332.5,319807.5,6.646934509277344
-209272.5,319807.5,4.880067348480225
-209212.5,319807.5,8.494274139404297
-209152.5,319807.5,8.249141693115234
-209092.5,319807.5,10.413707733154297
-209032.5,319807.5,16.65338897705078
-208972.5,319807.5,14.174731254577637
-208912.5,319807.5,13.680574417114258
-208852.5,319807.5,9.621270179748535
-208792.5,319807.5,8.83957576751709
-208732.5,319807.5,12.73417854309082
-208672.5,319807.5,12.358220100402832
-208612.5,319807.5,7.332540035247803
-208552.5,319807.5,10.970505714416504
-208492.5,319807.5,14.08731746673584
-208432.5,319807.5,9.049927711486816
-208372.5,319807.5,7.89945650100708
-208312.5,319807.5,6.841008186340332
-208252.5,319807.5,5.084909439086914
-208192.5,319807.5,4.406393527984619
-208132.5,319807.5,7.304487705230713
-208072.5,319807.5,13.051389694213867
-208012.5,319807.5,12.663429260253906
-207952.5,319807.5,15.378973007202148
-207892.5,319807.5,12.9874906539917
-207832.5,319807.5,15.888688087463379
-207772.5,319807.5,14.709303855895996
-207712.5,319807.5,16.253406524658203
-207652.5,319807.5,16.3416690826416
-207592.5,319807.5,15.979249954223633
-207532.5,319807.5,10.821041107177734
-207472.5,319807.5,13.473738670349121
-207412.5,319807.5,14.07492446899414
-207352.5,319807.5,11.709571838378906
-207292.5,319807.5,15.413752555847168
-207232.5,319807.5,14.242176055908203
-207172.5,319807.5,9.973447799682617
-207112.5,319807.5,8.071035385131836
-207052.5,319807.5,11.088233947753906
-206992.5,319807.5,10.437996864318848
-206932.5,319807.5,8.920316696166992
-206872.5,319807.5,9.916482925415039
-206812.5,319807.5,13.621299743652344
-206752.5,319807.5,12.83359432220459
-206692.5,319807.5,6.299562454223633
-206632.5,319807.5,3.1861045360565186
-206572.5,319807.5,3.0022075176239014
-206512.5,319807.5,2.4091739654541016
-206452.5,319807.5,3.257096290588379
-206392.5,319807.5,5.768115997314453
-206332.5,319807.5,6.332571029663086
-206272.5,319807.5,7.567941665649414
-206212.5,319807.5,10.838881492614746
-206152.5,319807.5,10.84697437286377
-206092.5,319807.5,11.135869979858398
-211672.5,319747.5,8.948189735412598
-211612.5,319747.5,11.937294960021973
-211552.5,319747.5,12.911563873291016
-211492.5,319747.5,14.4254150390625
-211432.5,319747.5,10.585162162780762
-211372.5,319747.5,9.671448707580566
-211312.5,319747.5,13.977993965148926
-211252.5,319747.5,15.673290252685547
-211192.5,319747.5,15.076065063476562
-211132.5,319747.5,15.282989501953125
-211072.5,319747.5,12.64262580871582
-211012.5,319747.5,14.851604461669922
-210952.5,319747.5,14.95545768737793
-210892.5,319747.5,14.255023002624512
-210832.5,319747.5,6.8422346115112305
-210772.5,319747.5,2.854428768157959
-210712.5,319747.5,6.061121463775635
-210652.5,319747.5,7.705618858337402
-210592.5,319747.5,12.851953506469727
-210532.5,319747.5,11.76115894317627
-210472.5,319747.5,15.262722969055176
-210412.5,319747.5,13.93270492553711
-210352.5,319747.5,9.582422256469727
-210292.5,319747.5,8.48521614074707
-210232.5,319747.5,7.639463424682617
-210172.5,319747.5,11.546552658081055
-210112.5,319747.5,10.034799575805664
-210052.5,319747.5,7.777050018310547
-209992.5,319747.5,9.05601978302002
-209932.5,319747.5,11.955221176147461
-209872.5,319747.5,12.014280319213867
-209812.5,319747.5,14.029219627380371
-209752.5,319747.5,14.231389045715332
-209692.5,319747.5,13.975052833557129
-209632.5,319747.5,13.461283683776855
-209572.5,319747.5,10.968086242675781
-209512.5,319747.5,14.441625595092773
-209452.5,319747.5,12.972928047180176
-209392.5,319747.5,8.30216121673584
-209332.5,319747.5,6.7300238609313965
-209272.5,319747.5,7.389376163482666
-209212.5,319747.5,11.276028633117676
-209152.5,319747.5,13.357131004333496
-209092.5,319747.5,12.894972801208496
-209032.5,319747.5,9.575594902038574
-208972.5,319747.5,14.563788414001465
-208912.5,319747.5,13.274788856506348
-208852.5,319747.5,11.465285301208496
-208792.5,319747.5,12.078387260437012
-208732.5,319747.5,11.641283988952637
-208672.5,319747.5,9.965559005737305
-208612.5,319747.5,12.602290153503418
-208552.5,319747.5,9.951788902282715
-208492.5,319747.5,13.70839786529541
-208432.5,319747.5,10.910506248474121
-208372.5,319747.5,12.34209156036377
-208312.5,319747.5,11.615009307861328
-208252.5,319747.5,9.839041709899902
-208192.5,319747.5,7.945896148681641
